vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount 

CMT,2010-03-15 15:29:46,2010-03-15 15:34:09,1,0.80000000000000004,-74.004732000000004,40.734341999999998,1,0,-73.993607999999995,40.741691000000003,Cas,4.9000000000000004,0,0.5,0,0,5.4000000000000004
CMT,2010-03-15 11:44:31,2010-03-15 11:48:48,1,0.29999999999999999,-73.958438999999998,40.772947000000002,1,0,-73.963603000000006,40.773561999999998,Cas,4.0999999999999996,0,0.5,0,0,4.5999999999999996
CMT,2010-03-15 11:07:30,2010-03-15 11:21:39,2,2.2000000000000002,-73.957441000000003,40.780028999999999,1,0,-73.983835999999997,40.769421000000001,Cas,9.6999999999999993,0,0.5,0,0,10.199999999999999
CMT,2010-03-15 14:57:33,2010-03-15 15:10:26,1,4.0999999999999996,-74.015964999999994,40.715091999999999,1,0,-73.990447000000003,40.766500999999998,Cre,12.1,0,0.5,3,0,15.6
CMT,2010-03-15 15:20:58,2010-03-15 15:21:10,1,0.10000000000000001,-73.963491000000005,40.774448,1,0,-73.963436999999999,40.774527999999997,Cas,2.5,0,0.5,0,0,3
CMT,2010-03-15 13:29:32,2010-03-15 13:38:44,1,2,-73.998198000000002,40.745536999999999,1,0,-73.982155000000006,40.771475000000002,Cas,7.7000000000000002,0,0.5,0,0,8.1999999999999993
CMT,2010-03-15 13:46:13,2010-03-15 13:53:29,1,1.2,-74.001723999999996,40.747577,1,0,-73.984363000000002,40.745744000000002,Cas,6.0999999999999996,0,0.5,0,0,6.5999999999999996
CMT,2010-03-15 12:38:55,2010-03-15 12:43:34,1,0.40000000000000002,-73.976029999999994,40.756509000000001,1,0,-73.984076999999999,40.759416999999999,Cre,4.5,0,0.5,1,0,6
CMT,2010-03-15 12:07:19,2010-03-15 12:16:56,1,2.2000000000000002,-73.978408999999999,40.76437,1,0,-73.988868999999994,40.737184999999997,Cas,8.0999999999999996,0,0.5,0,0,8.5999999999999996
CMT,2010-03-15 15:35:04,2010-03-15 16:00:07,1,5.2000000000000002,-73.993639000000002,40.720208999999997,1,,,-73.946438000000001,40.778773999999999,Cas,16.100000000000001,0,0.5,0,0,16.600000000000001
CMT,2010-03-15 11:50:52,2010-03-15 11:58:06,1,1.3999999999999999,-73.970050000000001,40.797198999999999,1,0,-73.980805000000004,40.778368999999998,Cre,6.5,0,0.5,1.3999999999999999,0,8.4000000000000004
CMT,2010-03-15 14:52:19,2010-03-15 15:01:52,1,1.6000000000000001,-73.971466000000007,40.763984000000001,1,0,-73.950243,40.771318999999998,Cas,7.2999999999999998,0,0.5,0,0,7.7999999999999998
CMT,2010-03-15 14:46:27,2010-03-15 14:50:28,1,0.40000000000000002,-73.978116,40.754866,1,0,-73.977953999999997,40.759751000000001,Cas,4.0999999999999996,0,0.5,0,0,4.5999999999999996
CMT,2010-03-15 14:55:35,2010-03-15 15:05:42,2,2.7999999999999998,-74.010082999999995,40.720796,1,0,-73.993638000000004,40.749085000000001,Cre,9.3000000000000007,0,0.5,1.96,0,11.76
CMT,2010-03-15 15:03:48,2010-03-15 15:18:46,1,2.3999999999999999,-73.996221000000006,40.723612000000003,1,0,-74.001553000000001,40.719641000000003,Cas,9.6999999999999993,0,0.5,0,0,10.199999999999999
CMT,2010-03-15 14:43:19,2010-03-15 15:00:43,1,3.6000000000000001,-73.976785000000007,40.743671999999997,1,0,-73.971557000000004,40.782060000000001,Cas,12.1,0,0.5,0,0,12.6
CMT,2010-03-15 14:35:32,2010-03-15 14:40:11,1,0.5,-73.966476,40.753253999999998,1,0,-73.971802999999994,40.753812000000003,Cas,4.5,0,0.5,0,0,5
CMT,2010-03-15 15:07:15,2010-03-15 15:49:12,1,9.1999999999999993,-74.012748000000002,40.716217999999998,1,0,-73.956609,40.783845999999997,Cas,27.699999999999999,0,0.5,0,0,28.199999999999999
CMT,2010-03-15 14:31:04,2010-03-15 14:40:03,1,0.90000000000000002,-73.997731999999999,40.741171999999999,1,0,-73.983401999999998,40.734369999999998,Cas,6.5,0,0.5,0,0,7
CMT,2010-03-15 12:20:25,2010-03-15 12:26:38,1,0.90000000000000002,-73.998289,40.745381999999999,1,0,-73.995375999999993,40.754640000000002,Cas,5.2999999999999998,0,0.5,0,0,5.7999999999999998
